contigName	contigLen	totalAvgDepth	MA_sorted.bam	MA_sorted.bam-var	MB_sorted.bam	MB_sorted.bam-var	MC_sorted.bam	MC_sorted.bam-var	MD_sorted.bam	MD_sorted.bam-var
bin00.contig0058	29952	6284.5	1490.15	78094.3	1888.18	110026	1063.09	142022	1843.09	99193.4
bin00.contig0059	29640	6816.53	1618.6	62232.5	2101.41	114709	1105.73	122353	1990.79	87588.2
bin00.contig0060	27550	6266.63	1469.58	56443.2	1968.57	83683.3	957.483	74044.5	1871	73544.8
bin00.contig0061	26663	6335.54	1484.31	64991.2	1933.18	81075	1041.26	125183	1876.79	76164.5
bin00.contig0062	26638	6562.68	1548.76	45737	2089.93	71332.7	969.195	66413.3	1954.8	60749.5
bin00.contig0063	26479	6389.65	1500.73	94900.1	1926.77	126293	1091.64	163994	1870.5	116833
bin00.contig0064	26026	6261.67	1486.72	80767.8	1893.27	63961.6	1056.16	154618	1825.52	70988.7
bin00.contig0065	25347	6615.35	1552.83	120898	2030.94	208911	1095.93	127748	1935.65	175629
bin00.contig0066	24912	6365.02	1503.01	68068	1910.37	103981	1088.14	118875	1863.5	94290.6
bin00.contig0067	24498	6465.79	1533.83	58119.9	1940.47	68563	1079.51	123269	1911.98	59018.5
bin00.contig0068	23856	6277.36	1469.63	50388.8	1899.67	61737.5	1042.78	125642	1865.28	57753.2
bin00.contig0069	23504	5158.58	1192.74	152036	1525.98	244218	906.285	161108	1533.58	237355
bin00.contig0070	23106	6370.02	1502.65	105764	1948.84	132507	1026.18	157779	1892.35	130298
bin00.contig0071	22620	6028.36	1401.42	68285.3	1875.21	116780	937.627	86743.4	1814.1	105884
bin00.contig0072	22339	6571.93	1572.06	170273	1930.41	249109	1182.22	252039	1887.24	237399
bin00.contig0073	21725	5886.6	1378.98	110114	1811.63	143357	943.705	142175	1752.28	139700
bin00.contig0074	21211	6240.6	1480.59	93105.3	1871.69	113644	1038.02	135946	1850.3	112749
bin00.contig0075	20748	6619.11	1573.98	68472.1	2011.89	77511.9	1111.16	155761	1922.08	74262.5
bin00.contig0076	20639	6461.88	1533.66	77217.1	1979.89	109477	1031.4	109241	1916.93	104612
bin00.contig0077	19588	6998.3	1655.34	120141	2103.77	118577	1209.87	210400	2029.32	117569
bin00.contig0078	19204	6628.43	1548.7	21230.9	2114.07	20204.3	994.254	51870.9	1971.41	21834.8
bin00.contig0079	19142	6349.5	1503.75	73285.4	1966.54	96482.4	999.055	110599	1880.15	89617.9
bin00.contig0080	18928	6691.63	1596.18	74627.5	2076.68	100177	1046.64	117115	1972.13	94522.5
bin00.contig0081	18377	6482.93	1532.16	64047.7	1935.21	95373	1150.35	123381	1865.2	80689.9
bin00.contig0082	18013	6584.83	1553.23	59853.9	2076.31	94210.9	1005.31	90268	1949.99	81464.4
bin00.contig0083	17323	6541.96	1539.11	59227.7	2045.73	91095.2	1006.63	90350.7	1950.49	83183.7
bin00.contig0084	17321	6325.5	1503.8	146121	1871.55	163189	1099.39	199623	1850.76	167977
bin00.contig0085	17179	6487.32	1519.45	37391.7	2062.19	46494.5	979.764	72292.4	1925.93	43891.8
bin00.contig0086	15685	6280.76	1511.66	62273.9	1820.41	71549.5	1117.33	131716	1831.36	68554.6
bin00.contig0087	15516	6251.14	1458.98	26876.9	1957.54	41539	922.998	33574.6	1911.62	38710.2
bin00.contig0088	15432	6643.71	1560.37	42916.5	2067.2	62616.3	1055.41	93308.6	1960.73	51050.8
bin00.contig0089	14170	6034.57	1428.5	89232.9	1789.04	88325.7	1040.69	142852	1776.34	96184.4
bin00.contig0090	14071	6427.03	1524.42	37595.5	1877.97	44578.9	1079.95	87863.2	1944.69	46175.1
bin00.contig0091	12898	6368.76	1498.61	132401	1857.24	142487	1202.85	242299	1810.06	148970
bin00.contig0092	12359	6699.09	1588.53	57558.1	1983.47	43282.7	1181.26	149802	1945.83	50044.7
bin00.contig0093	12204	6386.97	1501.53	114327	1864.11	136520	1206.3	191541	1815.03	133576
bin00.contig0094	12204	7613.88	1798.05	826464	2343.22	1.52179e+06	1242.78	325450	2229.84	1.2683e+06
bin00.contig0095	11719	6303.66	1457.89	35239.9	2050.04	54243.9	894.393	30781.6	1901.34	44113
bin00.contig0096	11449	6564.67	1556.45	93941.2	2095.27	182505	976.554	95970.3	1936.39	147843
bin00.contig0097	11298	6730.79	1585.3	36749.3	2098.53	52269	1054.64	90036.9	1992.31	50717.6
bin00.contig0098	11184	6126.02	1455.05	47761.9	1922.84	53509.5	924.357	70193.3	1823.78	54639.2
bin00.contig0099	10892	6223.98	1462.11	83062.5	1907.97	137971	1025.03	127428	1828.86	114132
bin00.contig0100	10752	6091.15	1419.38	72386.4	1911.89	124538	941.253	80690	1818.63	111456
bin00.contig0101	10479	6410.04	1509.59	58780.6	2054.7	95504.3	933.93	58724.2	1911.82	78829.2
bin00.contig0102	10159	6105.55	1430.68	74111.1	1944.03	145399	906.764	54218.1	1824.07	116846
bin00.contig0103	9857	6245.9	1460.96	33504.1	1897.6	30665.7	990.503	89722.2	1896.84	38124
bin00.contig0104	9534	6336.2	1489.06	85017.5	2002.32	143088	969.824	98350.2	1875	125692
bin00.contig0105	9316	5759.87	1339.68	118673	1769.38	200948	910.614	100081	1740.19	190656
bin00.contig0106	9228	8086.08	1969.72	51181.5	2374.29	22040.9	1502.61	191200	2239.46	26690.3
bin00.contig0107	9105	7279.29	1779.74	209613	2224.26	211019	1188.75	278209	2086.54	208809
bin00.contig0108	9040	7174.7	1679.91	44544.9	2196.68	63926	1198.03	168076	2100.08	54575.7
bin00.contig0109	8688	6743.19	1602.01	120275	2210.52	204731	915.206	43072	2015.46	169496
bin00.contig0110	8676	6142.66	1451.93	217209	1823.46	301359	1110.63	231453	1756.64	295594
bin00.contig0111	8106	6546.36	1555.54	25385.3	2086.19	38575.4	952.098	34886.8	1952.53	36169.8
bin00.contig0112	7734	6504.12	1547.71	108813	1974.4	163300	1101.32	148307	1880.69	147216
bin00.contig0113	7350	6554.57	1570.8	52451.5	1926.32	66424	1201.35	121652	1856.1	67517.7
bin00.contig0114	6753	6818.24	1592.52	62374	2238.08	119858	913.958	18037.7	2073.67	99393.4
bin00.contig0115	6411	7878.38	1912.29	7701.23	2584.3	13820.4	1026.54	2556.8	2355.25	12442.6
bin00.contig0116	6360	6350.15	1492.18	52803.3	1913.75	80245	1067.21	113887	1877.01	70668.3
bin00.contig0117	6202	6509.25	1529.65	82460.4	1935.76	66342.8	1160.79	167561	1883.05	74034
bin00.contig0118	6055	7169.57	1691.15	16425.5	2329.36	20394.3	973.683	34760.5	2175.38	22482.3
bin00.contig0119	5997	6951.79	1634.65	13381	2267.2	30576.8	959.874	13555.5	2090.06	21931.1
bin00.contig0120	5965	6323.89	1501.81	42589	1922.91	54483.8	1018.22	78701.2	1880.94	55335.1
bin00.contig0121	5765	6155.95	1453.8	103809	1932.95	165984	931.249	119698	1837.95	158786
bin00.contig0122	5442	6249.1	1505.08	233006	1890.04	253601	1081.12	313261	1772.87	253322
bin00.contig0123	5346	1525.1	279.041	19553.6	675.086	136746	98.4411	3283.76	472.531	61472.1
bin00.contig0124	5310	6831.7	1606.4	19161.3	2159.43	41432	980.915	23096.3	2084.95	30003.9
bin00.contig0125	5187	5161.53	1218.7	277560	1609.55	494298	814.497	197820	1518.79	433760
bin00.contig0126	5138	6667.22	1562.82	80288.6	2006.21	123017	1137.22	129859	1960.97	103184
bin00.contig0127	5135	7432.19	1801.24	15380.8	2415.58	35174.8	966.771	4499.11	2248.6	24489
bin00.contig0128	5054	7382.23	1753.91	112284	2030.09	142912	1518.06	199831	2080.18	150564
bin00.contig0129	4825	6275.43	1459.49	43465.2	2019	65827.4	888.723	44929.9	1908.22	59358.4
bin00.contig0130	4737	5900.45	1384.66	146281	1864.43	235668	874.252	112088	1777.12	230882
bin00.contig0131	4679	6455.99	1525.13	48591.4	1920.27	28342.2	1123.43	169664	1887.16	30015.8
bin00.contig0132	4518	5671.31	1311.28	98292.1	1732.08	87057.8	927.758	133988	1700.18	105985
bin00.contig0133	4442	6918.59	1663.12	83666.3	2141.89	96086.2	1150.11	173785	1963.47	78318.3
bin00.contig0134	4362	7152.09	1667.83	23243.5	2303.01	30251.1	1053.69	75829.6	2127.55	22446
bin00.contig0135	4261	6252.47	1468.13	144176	1947.88	277934	994.695	124127	1841.76	230080
bin00.contig0136	4114	6704.21	1583.29	134358	2047.76	173115	1150.21	179199	1922.94	137415
bin00.contig0137	3846	5629.17	1316.61	96801.1	1812.05	206330	774.541	33755.9	1725.97	198709
bin00.contig0138	3606	5943.52	1375.26	125053	1893.85	232513	890.082	91808.6	1784.33	213297
bin00.contig0139	3584	6139.11	1459.74	73308.6	1773.18	35868.8	1136.55	196150	1769.64	45599
bin00.contig0140	3577	3426.96	873.27	79224.4	823.633	177598	790.909	115986	939.15	160810
bin00.contig0141	3410	6342.86	1497.72	65801.1	1854.02	95732.1	1169.64	151293	1821.48	77008.8
bin00.contig0142	3322	1103.18	204.859	9710.96	474.318	52871.7	72.2822	1419.86	351.723	28118.1
bin00.contig0143	3272	5618.29	1326.05	82593.2	1716.82	175150	916.33	91572.4	1659.08	148895
bin00.contig0144	3208	7967.57	1920.19	121907	2115.16	100541	1778.9	174007	2153.32	132410
