#taxon	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Microcystis;	2	0.05	7164.10	0.03	1689.84	0.03	2214.33	0.03	1156.82	0.03	2103.11	0.03
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc-linckia_A	1	0.02	6927.58	0.02	1665.36	0.03	1961.92	0.02	1368.85	0.03	1931.45	0.02
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;	1	0.02	1525.10	0.01	279.04	0.00	675.09	0.01	98.44	0.00	472.53	0.01
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Raphidiopsis;s__Raphidiopsis-brookii	1	0.02	6704.21	0.02	1583.29	0.02	2047.76	0.02	1150.21	0.02	1922.94	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Kamptonema;	2	0.05	13101.16	0.05	3042.84	0.05	4287.34	0.05	1760.13	0.04	4010.86	0.05
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Echinicola;s__Echinicola-vietnamensis	1	0.02	1525.10	0.01	279.04	0.00	675.09	0.01	98.44	0.00	472.53	0.01
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__PCC7113;	9	0.21	58122.47	0.21	13671.29	0.21	17784.53	0.21	9569.96	0.21	17096.65	0.21
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Lyngbya;	2	0.05	13304.23	0.05	3133.68	0.05	4084.20	0.05	2197.14	0.05	3889.20	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc-flagelliforme	1	0.02	6615.35	0.02	1552.83	0.02	2030.94	0.02	1095.93	0.02	1935.65	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Microcoleus;s__Microcoleus-vaginatus	1	0.02	7613.88	0.03	1798.05	0.03	2343.22	0.03	1242.78	0.03	2229.84	0.03
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Microcoleus;	5	0.11	32512.66	0.12	7679.64	0.12	9950.98	0.12	5373.93	0.12	9508.10	0.12
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylocaldum;	1	0.02	5158.58	0.02	1192.74	0.02	1525.98	0.02	906.28	0.02	1533.58	0.02
