#taxon	count	count_pct	abundance	abundance_pct	depth_M1	depth_pct_M1	depth_M2	depth_pct_M2	depth_M3	depth_pct_M3	depth_M4	depth_pct_M4
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Geitlerinema;	81	1.86	558495.95	1.99	132358.65	2.00	170341.40	1.99	91271.80	1.98	164524.15	2.00
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A-willei	1305	30.00	8339162.89	29.78	1967791.26	29.76	2540193.59	29.75	1375681.48	29.82	2455495.88	29.80
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C-japonica	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Coleofasciculus;s__Coleofasciculus-chthonoplastes	5	0.11	78622.79	0.28	18710.16	0.28	24758.56	0.29	11512.25	0.25	23641.79	0.29
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Desertifilum;	4	0.09	26045.40	0.09	6139.81	0.09	7972.68	0.09	4284.38	0.09	7648.53	0.09
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Fischerella;s__Fischerella-muscicola	1	0.02	5161.53	0.02	1218.70	0.02	1609.55	0.02	814.50	0.02	1518.79	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Symphothece;s__Symphothece-rosea	1	0.02	6175.40	0.02	1451.91	0.02	1747.89	0.02	1222.76	0.03	1752.83	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Anabaenopsis;	1	0.02	6709.57	0.02	1582.63	0.02	2022.99	0.02	1139.10	0.02	1964.86	0.02
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__HLUCCA01;g__HLUCCA01;	1	0.02	6818.24	0.02	1592.52	0.02	2238.08	0.03	913.96	0.02	2073.67	0.03
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Moorea;s__Moorea-producens	1	0.02	17464.80	0.06	4232.05	0.06	4567.73	0.05	3928.25	0.09	4736.78	0.06
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Oscillatoriaceae;g__Oscillatoria;s__Oscillatoria-acuminata	24	0.55	157550.45	0.56	37293.21	0.56	47639.97	0.56	26480.59	0.57	46136.67	0.56
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Chlorogloeopsis;s__Chlorogloeopsis-fritschii	2	0.05	12669.33	0.05	2990.51	0.05	3860.67	0.05	2094.39	0.05	3723.77	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudophormidiales;f__Pseudophormidiaceae;g__Leptolyngbya_A;s__Leptolyngbya_A-ohadii	4	0.09	25991.90	0.09	6156.82	0.09	7749.57	0.09	4441.79	0.10	7643.70	0.09
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Tolypothrix_C;s__Tolypothrix_C-hofmanni	2	0.05	13698.06	0.05	3227.04	0.05	4329.01	0.05	2046.06	0.04	4095.95	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Cyanobacterium_A;s__Cyanobacterium_A-aponinum	3	0.07	21231.45	0.08	5091.45	0.08	6614.00	0.08	3356.98	0.07	6169.02	0.07
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Oscillochloris;s__Oscillochloris-trichoides	1	0.02	6209.59	0.02	1460.09	0.02	1926.12	0.02	949.72	0.02	1873.66	0.02
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Anabaena_A;s__Anabaena_A-cylindrica	2	0.05	13180.13	0.05	3117.99	0.05	4020.02	0.05	2175.46	0.05	3866.65	0.05
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Pseudophormidiales;f__Pseudophormidiaceae;g__O-77;	3	0.07	19254.00	0.07	4534.90	0.07	5772.85	0.07	3342.85	0.07	5603.39	0.07
