#Taxon	Count	Count_pct	Abund	Abund_pct	Abund_DLM2	Abund_pct_DLM2	Abund_GEM2	Abund_pct_GEM2	Abund_LCM1	Abund_pct_LCM1	Abund_PLM2	Abund_pct_PLM2
Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta	4	1.54	65.35	0.15	0.00	0.00	0.00	0.00	65.27	0.24	0.08	0.00
Bacteria;Bacteroidetes	5	1.92	230.33	0.52	53.09	0.88	37.58	0.84	61.94	0.22	77.72	1.25
Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota	3	1.15	28.14	0.06	0.00	0.00	0.00	0.00	28.14	0.10	0.00	0.00
Bacteria;Patescibacteria;Gracilibacteria	2	0.77	55.25	0.12	10.08	0.17	6.35	0.14	34.59	0.12	4.24	0.07
Bacteria;Gemmatimonadetes;Gemmatimonadetes	3	1.15	576.27	1.30	130.15	2.16	167.17	3.75	149.85	0.54	129.11	2.08
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Indibacter	1	0.38	135.03	0.30	75.56	1.25	3.89	0.09	30.67	0.11	24.91	0.40
Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales	6	2.31	81.52	0.18	7.33	0.12	7.35	0.16	55.55	0.20	11.29	0.18
Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Nodularia PCC-9350	1	0.38	612.28	1.38	100.06	1.66	93.43	2.10	280.55	1.01	138.25	2.23
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae	1	0.38	39.89	0.09	2.53	0.04	0.23	0.01	36.65	0.13	0.48	0.01
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Actinotalea	2	0.77	29.99	0.07	1.44	0.02	0.19	0.00	26.78	0.10	1.58	0.03
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Oceanicaulis	1	0.38	232.41	0.52	197.38	3.27	8.46	0.19	23.25	0.08	3.32	0.05
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Salinarimonas	1	0.38	434.84	0.98	69.70	1.15	204.01	4.58	74.57	0.27	86.56	1.39
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	1	0.38	492.75	1.11	73.97	1.23	159.65	3.58	200.55	0.72	58.58	0.94
Bacteria;Bacteroidetes;Rhodothermia;Balneolales	4	1.54	322.59	0.73	73.76	1.22	71.37	1.60	55.40	0.20	122.06	1.96
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family	2	0.77	1342.66	3.02	192.91	3.20	401.24	9.00	246.37	0.89	502.14	8.08
Eukaryota;Opisthokonta;Nucletmycea	1	0.38	160.14	0.36	7.37	0.12	2.38	0.05	149.45	0.54	0.95	0.02
Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Oscillatoriaceae;Oscillatoria PCC-6304	1	0.38	22.78	0.05	0.34	0.01	0.91	0.02	13.69	0.05	7.83	0.13
Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae	3	1.15	203.54	0.46	11.97	0.20	24.63	0.55	149.34	0.54	17.59	0.28
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae	1	0.38	114.64	0.26	13.12	0.22	26.71	0.60	47.34	0.17	27.47	0.44
Bacteria;Bacteroidetes;Rhodothermia	5	1.92	198.35	0.45	29.45	0.49	41.66	0.93	46.48	0.17	80.76	1.30
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae	1	0.38	28.32	0.06	10.54	0.17	1.07	0.02	5.14	0.02	11.57	0.19
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	1	0.38	390.24	0.88	48.23	0.80	191.72	4.30	68.15	0.25	82.13	1.32
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales	3	1.15	125.87	0.28	3.80	0.06	2.91	0.07	115.88	0.42	3.28	0.05
Bacteria;Kiritimatiellaeota;Kiritimatiellae	1	0.38	69.28	0.16	29.47	0.49	7.41	0.17	12.46	0.04	19.94	0.32
Bacteria;Chloroflexi;Chloroflexia	1	0.38	134.56	0.30	9.57	0.16	23.43	0.53	71.13	0.26	30.42	0.49
Bacteria;Cyanobacteria;Oxyphotobacteria	2	0.77	362.62	0.82	89.27	1.48	48.70	1.09	167.45	0.60	57.20	0.92
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	1	0.38	6.52	0.01	0.00	0.00	0.00	0.00	6.52	0.02	0.00	0.00
Bacteria;Firmicutes;Bacilli;Bacillales	4	1.54	1107.44	2.49	81.79	1.36	0.90	0.02	1021.68	3.68	3.07	0.05
Bacteria;Actinobacteria;Acidimicrobiia	3	1.15	122.89	0.28	12.47	0.21	26.89	0.60	65.28	0.24	18.25	0.29
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales	2	0.77	50.96	0.11	4.93	0.08	2.72	0.06	37.75	0.14	5.56	0.09
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae	1	0.38	109.84	0.25	11.63	0.19	4.56	0.10	87.41	0.32	6.23	0.10
